,Id,Period,Time,Type,Goal,Assist,Season
1,186570,1. část,10:51,-,8 Prokop Kocur,50 Kryštof Jinek,2016/2017
2,186570,2. část,03:14,PP,8 Prokop Kocur,72 Jaroslav Soldán,2016/2017
3,186570,2. část,11:15,-,2 Vítek Moučka,93 Tomáš Kupec,2016/2017
4,186570,3. část,00:21,-,25 Jakub Pražák,2 Vítek Moučka,2016/2017
5,186570,3. část,02:19,-,50 Kryštof Jinek,15 Vojtěch Hecl,2016/2017
6,186570,3. část,09:34,-,37 Martin Počta,50 Kryštof Jinek,2016/2017
0,188121,1. část,08:31,-,3 Vojtěch Sýkora,11 Martin Brixí,2017/2018
1,188121,3. část,01:29,-,14 Pavel Böhm,8 Radek Štengl,2017/2018
2,188121,3. část,09:28,-,11 Martin Brixí,20 Dávid Nagy,2017/2018
0,188126,1. část,01:04,-,17 Jan Vrba,12 Jakub Brabec,2017/2018
1,188126,1. část,09:46,SH,17 Jan Vrba,14 Michal Kolář,2017/2018
2,188126,2. část,03:01,-,3 Filip Prusík,14 Michal Kolář,2017/2018
3,188126,2. část,11:23,-,14 Michal Kolář,7 Michal Rozšafný,2017/2018
4,188126,3. část,05:31,-,17 Jan Vrba,9 Vladimír Drnec,2017/2018
5,188126,3. část,09:11,-,9 Vladimír Drnec,12 Jakub Brabec,2017/2018
6,188126,3. část,09:35,-,13 Jaroslav Němec,14 Michal Kolář,2017/2018
0,188617,1. část,02:57,-,26 Jan Sláma,84 Aleš Vondřejc,2017/2018
1,188617,1. část,11:29,-,18 Lukáš Klíma,33 Jakub Horáček,2017/2018
2,188617,2. část,07:35,-,26 Jan Sláma,,2017/2018
3,188617,2. část,08:39,-,71 Tomáš Zídek,18 Lukáš Klíma,2017/2018
4,188617,2. část,10:45,-,26 Jan Sláma,88 Tomáš Říha,2017/2018
5,188617,3. část,00:56,-,26 Jan Sláma,99 Petr Brimus,2017/2018
6,188617,3. část,05:38,PP,99 Petr Brimus,33 Jakub Horáček,2017/2018
7,188617,3. část,07:06,-,33 Jakub Horáček,,2017/2018
0,188620,1. část,00:31,-,9 Petr Urban,8 Petr Heteš,2017/2018
1,188620,1. část,04:42,-,2 Petr Šváb,8 Petr Heteš,2017/2018
2,188620,3. část,01:00,-,18 Martin Tuma,9 Petr Urban,2017/2018
3,188620,3. část,02:18,-,11 Martin Kovář,,2017/2018
4,188620,3. část,02:47,-,9 Petr Urban,78 Šimon Hejda,2017/2018
5,188620,3. část,06:57,-,18 Martin Tuma,9 Petr Urban,2017/2018
6,188620,3. část,09:52,-,78 Šimon Hejda,8 Petr Heteš,2017/2018
0,190306,1. část,08:47,-,48 Vladimír Hladík,77 Vladimír John,2017/2018
1,190306,1. část,10:49,-,18 Karel Hrubý,12 Pavel Suchánek,2017/2018
2,190306,2. část,03:01,PP,48 Vladimír Hladík,77 Vladimír John,2017/2018
3,190306,2. část,04:30,-,5 Tomáš Zíval,12 Pavel Suchánek,2017/2018
4,190306,2. část,10:19,-,5 Tomáš Zíval,,2017/2018
5,190306,2. část,11:16,-,77 Vladimír John,,2017/2018
6,190306,2. část,11:36,-,18 Karel Hrubý,5 Tomáš Zíval,2017/2018
7,190306,3. část,04:04,SH,18 Karel Hrubý,17 Vlastislav Brabec,2017/2018
8,190306,3. část,04:57,-,42 Pavel Voltner,5 Tomáš Zíval,2017/2018
9,190306,3. část,07:19,PP,83 Miloš Loužecký,42 Pavel Voltner,2017/2018
10,190306,3. část,10:18,-,12 Pavel Suchánek,17 Vlastislav Brabec,2017/2018
11,190306,3. část,10:53,-,18 Karel Hrubý,42 Pavel Voltner,2017/2018
12,190306,3. část,11:05,-,17 Vlastislav Brabec,83 Miloš Loužecký,2017/2018
0,197391,1. část,08:07,-,78 Jan Valeš,33 Vojtěch Vašák,2017/2018
1,197391,2. část,03:01,-,9 Josef Liška,90 David Valeš,2017/2018
2,197391,2. část,11:29,-,71 Filip Lukeš,90 David Valeš,2017/2018
3,197391,3. část,01:23,-,91 Patrik Toulec,13 Josef Mimráček,2017/2018
4,197391,3. část,03:51,-,33 Vojtěch Vašák,91 Patrik Toulec,2017/2018
5,197391,3. část,06:49,-,33 Vojtěch Vašák,90 David Valeš,2017/2018
6,197391,3. část,09:07,-,91 Patrik Toulec,78 Jan Valeš,2017/2018
0,197395,1. část,04:46,-,78 Martin Matoška,88 Lukáš Bárta,2017/2018
1,197395,1. část,09:35,-,88 Lukáš Bárta,24 Filip Friedberger,2017/2018
2,197395,2. část,08:09,-,18 Martin Zelenka,4 Martin Reichelt,2017/2018
3,197395,3. část,05:52,-,18 Martin Zelenka,4 Martin Reichelt,2017/2018
4,197395,3. část,09:46,-,48 Petr Brabenec,10 Jiří Havlan,2017/2018
0,190313,1. část,03:47,-,14 Tomáš Čajan,9 Filip Fišer,2017/2018
1,190313,1. část,04:49,-,21 Jiří Ureš,,2017/2018
2,190313,1. část,10:42,-,51 Michal Petrásek,16 Aleš Bambas,2017/2018
3,190313,1. část,11:43,-,17 Petr Čepelák,43 Aleš Těhle,2017/2018
4,190313,2. část,02:31,-,9 Filip Fišer,16 Aleš Bambas,2017/2018
5,190313,2. část,11:52,-,9 Filip Fišer,91 Lukáš Riegel,2017/2018
6,190313,3. část,01:42,-,51 Michal Petrásek,31 Kamil Vohradský,2017/2018
7,190313,3. část,02:06,-,9 Filip Fišer,91 Lukáš Riegel,2017/2018
