,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,158165,12 Radek Řeháček (U),0,0,0,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
1,158165,17 Jan Voříšek (U),1,0,1,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
2,158165,22 Ondřej Novák (U),0,0,0,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
3,158165,28 Jakub Malý (U),1,1,2,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
4,158165,33 Daniel Stránský (U),0,2,2,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
5,158165,36 Miroslav Šíp (U),2,0,2,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
6,158165,43 Jakub Vrzák (U),0,1,1,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
7,158165,46 Lukáš Frydrych (U),1,0,1,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
8,158165,48 Ondřej Kadaník (U),0,0,0,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
9,158165,66 Tomáš Grznár (U),0,0,0,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
10,158165,72 Richard Mrázek (U),0,2,2,2016/2017,FBC Penguins Praha,TJ Sokol Královské Vinohrady D
