,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
4,170890,3,11:55,PP, Miloš Zapadlo, Zdeněk Karásek,2016/2017,11,55,715
0,173095,1,03:49,-, Antonín Krudenc, Tomáš Pažout,2016/2017,3,49,229
1,173095,1,03:53,-, David Ranš, Michael Tichý,2016/2017,3,53,233
2,173095,1,11:59,-, David Ranš, Michal Janouš,2016/2017,11,59,719
3,173095,2,00:06,-, Antonín Krudenc, Vítězslav Prágr,2016/2017,0,6,6
4,173095,2,01:08,-, Tomáš Pažout, Martin Vodička,2016/2017,1,8,68
5,173095,2,02:55,-, Antonín Krudenc, Tomáš Pažout,2016/2017,2,55,175
6,173095,2,07:35,-, Jan Flaška,,2016/2017,7,35,455
7,173095,2,09:27,-, David Ranš, Jan Flaška,2016/2017,9,27,567
8,173095,3,03:50,-, Jan Flaška,,2016/2017,3,50,230
9,173095,3,04:42,-, David Ranš, Jan Flaška,2016/2017,4,42,282
10,173095,3,08:45,-, Josef Hájek, Martin Vodička,2016/2017,8,45,525
0,173117,2,06:08,-, Jan Šťastný, Dominik Korolus,2016/2017,6,8,368
1,173117,2,06:14,-, Jakub Havlík, Dominik Korolus,2016/2017,6,14,374
2,173117,3,03:38,-, Tomáš Valenta, Martin Bajer,2016/2017,3,38,218
0,174037,1,05:47,-, Oldřich Pilecký, Ondřej Novák,2016/2017,5,47,347
1,174037,1,07:52,SH, Oldřich Pilecký, Jakub Malý,2016/2017,7,52,472
2,174037,2,06:35,-, Petr Ježek, Jakub Vrzák,2016/2017,6,35,395
3,174037,2,08:20,-, Oldřich Pilecký, Petr Matolín,2016/2017,8,20,500
4,174037,2,08:52,PP, Ondřej Kadaník, Daniel Stránský,2016/2017,8,52,532
5,174037,2,09:25,-, Jakub Malý, Oldřich Pilecký,2016/2017,9,25,565
6,174037,2,11:26,-, Oldřich Pilecký, Daniel Stránský,2016/2017,11,26,686
7,174037,3,03:50,-, Lukáš Frydrych, Jakub Vrzák,2016/2017,3,50,230
8,174037,3,04:13,-, Jakub Vrzák, Lukáš Frydrych,2016/2017,4,13,253
9,174037,3,04:48,-, Jakub Malý, Daniel Stránský,2016/2017,4,48,288
10,174037,3,09:51,-, Miroslav Šíp, Jakub Malý,2016/2017,9,51,591
11,174037,3,09:57,-, Lukáš Frydrych, Jakub Vrzák,2016/2017,9,57,597
0,177651,1,04:46,-, David Haring, Michal Kuruc,2016/2017,4,46,286
1,177651,1,07:36,-, Pavel Kohout, Lukáš Bozděch,2016/2017,7,36,456
2,177651,1,09:42,-, Lukáš Bozděch, David Haring,2016/2017,9,42,582
3,177651,1,10:02,-, František Podaný, Petr Kohout,2016/2017,10,2,602
4,177651,1,11:06,-, David Haring, Michal Kuruc,2016/2017,11,6,666
5,177651,2,10:39,-, Pavel Kohout, Petr Kohout,2016/2017,10,39,639
6,177651,3,01:16,PP, Jan Paulovič, Michal Kuruc,2016/2017,1,16,76
7,177651,3,04:44,-, Michal Kuruc, Jan Paulovič,2016/2017,4,44,284
8,177651,3,05:30,-, Pavel Kohout, Petr Kohout,2016/2017,5,30,330
9,177651,3,09:07,-, Petr Kaša, František Podaný,2016/2017,9,7,547
10,177651,3,09:50,-, Michal Kuruc, Jan Paulovič,2016/2017,9,50,590
11,177651,3,10:14,-, Petr Kohout, Petr Kaša,2016/2017,10,14,614
12,177651,3,11:09,-, Petr Kaša, Petr Kohout,2016/2017,11,9,669
13,177651,3,11:15,-, Michal Kuruc, Jan Paulovič,2016/2017,11,15,675
0,181133,3,01:08,-, Stanislav Lepič, Tomáš Dlouhý,2016/2017,1,8,68
1,181133,3,03:02,-, Michal Čermák,,2016/2017,3,2,182
2,181133,3,11:53,-, Michal Čermák, Michal Šnobl,2016/2017,11,53,713
0,181139,1,09:00,-, Vojtěch Dlouhý, Vojtěch Svoboda,2016/2017,9,0,540
1,181139,1,11:43,-, Vladimír Bradáč, Vojtěch Svoboda,2016/2017,11,43,703
2,181139,2,04:58,-, Vít Novotný, Michal Kramoliš,2016/2017,4,58,298
3,181139,2,11:47,PS, Vojtěch Dlouhý,,2016/2017,11,47,707
4,181139,3,00:13,-, Václav Böhm, Jiří Novák,2016/2017,0,13,13
0,184416,1,04:40,-, Luboš Berka, David Volek,2016/2017,4,40,280
1,184416,3,08:53,-, Aleš Kůdela, Petr Benedikt,2016/2017,8,53,533
0,184419,1,01:01,-, Petr Kohout, Pavel Kohout,2016/2017,1,1,61
1,184419,1,03:00,-, Pavel Kohout, Lukáš Bozděch,2016/2017,3,0,180
2,184419,1,11:00,-, Petr Kohout, Pavel Kohout,2016/2017,11,0,660
3,184419,2,01:18,-, Michal Kuruc, Josef Vlček,2016/2017,1,18,78
4,184419,2,06:11,-, František Podaný, Pavel Kohout,2016/2017,6,11,371
5,184419,2,06:57,-, František Podaný, Petr Kohout,2016/2017,6,57,417
6,184419,2,11:57,-, Josef Vlček, Tomáš Kriebel,2016/2017,11,57,717
7,184419,3,09:20,-, Pavel Kohout, Petr Kohout,2016/2017,9,20,560
0,186566,2,03:51,-, Jiří Svoboda, Bořek Sláma,2016/2017,3,51,231
1,186566,2,06:03,-, Marek Toráč,,2016/2017,6,3,363
2,186566,2,11:11,-, Radim Onderka, Marek Toráč,2016/2017,11,11,671
3,186566,3,01:02,-, Radim Onderka, Bořek Sláma,2016/2017,1,2,62
4,186566,3,11:16,-, Bořek Sláma,,2016/2017,11,16,676
0,186570,1,02:46,-, Prokop Kocur, Vojtěch Hecl,2016/2017,2,46,166
1,186570,1,10:51,-, Prokop Kocur, Kryštof Jinek,2016/2017,10,51,651
2,186570,2,03:14,PP, Prokop Kocur, Jaroslav Soldán,2016/2017,3,14,194
3,186570,2,11:15,-, Vítek Moučka, Tomáš Kupec,2016/2017,11,15,675
4,186570,3,00:21,-, Jakub Pražák, Vítek Moučka,2016/2017,0,21,21
5,186570,3,02:19,-, Kryštof Jinek, Vojtěch Hecl,2016/2017,2,19,139
6,186570,3,09:34,-, Martin Počta, Kryštof Jinek,2016/2017,9,34,574
0,188121,1,08:31,-, Vojtěch Sýkora, Martin Brixí,2017/2018,8,31,511
1,188121,3,01:29,-, Pavel Böhm, Radek Štengl,2017/2018,1,29,89
2,188121,3,09:28,-, Martin Brixí, Dávid Nagy,2017/2018,9,28,568
0,188126,1,01:04,-, Jan Vrba, Jakub Brabec,2017/2018,1,4,64
1,188126,1,09:46,SH, Jan Vrba, Michal Kolář,2017/2018,9,46,586
2,188126,2,03:01,-, Filip Prusík, Michal Kolář,2017/2018,3,1,181
3,188126,2,11:23,-, Michal Kolář, Michal Rozšafný,2017/2018,11,23,683
4,188126,3,05:31,-, Jan Vrba, Vladimír Drnec,2017/2018,5,31,331
5,188126,3,09:11,-, Vladimír Drnec, Jakub Brabec,2017/2018,9,11,551
6,188126,3,09:35,-, Jaroslav Němec, Michal Kolář,2017/2018,9,35,575
0,188617,1,02:57,-, Jan Sláma, Aleš Vondřejc,2017/2018,2,57,177
1,188617,1,11:29,-, Lukáš Klíma, Jakub Horáček,2017/2018,11,29,689
2,188617,2,07:35,-, Jan Sláma,,2017/2018,7,35,455
3,188617,2,08:39,-, Tomáš Zídek, Lukáš Klíma,2017/2018,8,39,519
4,188617,2,10:45,-, Jan Sláma, Tomáš Říha,2017/2018,10,45,645
5,188617,3,00:56,-, Jan Sláma, Petr Brimus,2017/2018,0,56,56
6,188617,3,05:38,PP, Petr Brimus, Jakub Horáček,2017/2018,5,38,338
7,188617,3,07:06,-, Jakub Horáček,,2017/2018,7,6,426
0,188620,1,00:31,-, Petr Urban, Petr Heteš,2017/2018,0,31,31
1,188620,1,04:42,-, Petr Šváb, Petr Heteš,2017/2018,4,42,282
2,188620,3,01:00,-, Martin Tuma, Petr Urban,2017/2018,1,0,60
3,188620,3,02:18,-, Martin Kovář,,2017/2018,2,18,138
4,188620,3,02:47,-, Petr Urban, Šimon Hejda,2017/2018,2,47,167
5,188620,3,06:57,-, Martin Tuma, Petr Urban,2017/2018,6,57,417
6,188620,3,09:52,-, Šimon Hejda, Petr Heteš,2017/2018,9,52,592
0,190306,1,08:47,-, Vladimír Hladík, Vladimír John,2017/2018,8,47,527
1,190306,1,10:49,-, Karel Hrubý, Pavel Suchánek,2017/2018,10,49,649
2,190306,2,03:01,PP, Vladimír Hladík, Vladimír John,2017/2018,3,1,181
3,190306,2,04:30,-, Tomáš Zíval, Pavel Suchánek,2017/2018,4,30,270
4,190306,2,10:19,-, Tomáš Zíval,,2017/2018,10,19,619
5,190306,2,11:16,-, Vladimír John,,2017/2018,11,16,676
6,190306,2,11:36,-, Karel Hrubý, Tomáš Zíval,2017/2018,11,36,696
7,190306,3,04:04,SH, Karel Hrubý, Vlastislav Brabec,2017/2018,4,4,244
8,190306,3,04:57,-, Pavel Voltner, Tomáš Zíval,2017/2018,4,57,297
9,190306,3,07:19,PP, Miloš Loužecký, Pavel Voltner,2017/2018,7,19,439
10,190306,3,10:18,-, Pavel Suchánek, Vlastislav Brabec,2017/2018,10,18,618
11,190306,3,10:53,-, Karel Hrubý, Pavel Voltner,2017/2018,10,53,653
