,Id,Player,G,A,PTS,Season,Team_against,Team_for,Hattrick,Date,League
172,14226, Roman Žampach ,0,1,1,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
173,14226, Zdeněk Máčel ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
174,14226, Zdeněk Karásek ,0,0,0,2009/2010,FBC Start98 B,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
175,14224, Pavel Maršík ,0,1,1,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
176,14224, Jakub Mádr ,0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
177,14224, Ladislav Tyll ,0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
178,14224, Filip Weber ,0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
179,14224, Petr Škaloud ,1,1,2,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
180,14224, Václav Rides ,0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
181,14224, Adam Bardún ,0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
182,14224, Štěpán Trousil ,0,2,2,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
183,14224, Jakub Nováček ,1,0,1,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
184,14224, Roman Žampach ,2,0,2,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
185,14224, Zdeněk Máčel ,0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
186,14224, Zdeněk Karásek ,0,0,0,2009/2010,FBC Vlci Tatran Kostelec,FBC Ressler boys,0,20.09.2009, PH+SČ soutěž mužů
187,15977, Pavel Maršík ,1,0,1,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys,0,18.10.2009, PH+SČ soutěž mužů
188,15977, Jakub Mádr ,0,0,0,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys,0,18.10.2009, PH+SČ soutěž mužů
189,15977, Ladislav Tyll ,3,0,3,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys,1,18.10.2009, PH+SČ soutěž mužů
190,15977, Milan Balzer ,0,0,0,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys,0,18.10.2009, PH+SČ soutěž mužů
191,15977, Václav Rides ,0,1,1,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys,0,18.10.2009, PH+SČ soutěž mužů
192,15977, Adam Bardún ,0,0,0,2009/2010,FBC Vinořská Zvěř,FBC Ressler boys,0,18.10.2009, PH+SČ soutěž mužů
