,Id,Period,Time,Type,Goal,Assist,Season
1,30521,1. část,02:38,-,39 Jiří Žilinský,12 Ivan Preisler,2010/2011
2,30521,2. část,01:31,-,12 Ivan Preisler,76 Jaroslav Český,2010/2011
3,30521,2. část,03:04,-,2 Miroslav Špaček,11 Jan Urbanec,2010/2011
4,30521,2. část,04:54,-,76 Jaroslav Český,39 Jiří Žilinský,2010/2011
5,30521,3. část,00:37,-,69 Vít Vrtiška,16 Jan Klimus,2010/2011
0,30518,2. část,08:15,-,45 Martin Kašík,,2010/2011
1,30518,2. část,10:26,-,15 Jakub Kricner,45 Martin Kašík,2010/2011
2,30518,2. část,11:35,-,50 Jan Rychtařík,91 Jan Šik,2010/2011
3,30518,3. část,02:23,-,45 Martin Kašík,15 Jakub Kricner,2010/2011
4,30518,3. část,08:25,-,10 Jan Kadlec,,2010/2011
0,31231,2. část,02:25,-,78 Martin Matoška,9 Kateřina Holubová,2010/2011
1,31231,2. část,08:36,-,19 Petr Dupač,31 Jan Srb,2010/2011
0,31228,2. část,11:21,-,5 Stanislav Heřman,7 Lubomír Mrazík,2010/2011
1,31228,3. část,02:51,-,10 Lukáš Bokr,78 Václav Hrubý,2010/2011
2,31228,3. část,08:01,-,78 Václav Hrubý,10 Lukáš Bokr,2010/2011
0,32999,1. část,03:27,-,41 Karel Kovács,,2010/2011
1,32999,2. část,02:48,-,21 Lukáš Jenšík,40 Sebastian Sticzay,2010/2011
0,32921,1. část,04:45,-,14 Aleš Chod,55 Tomáš Pícha,2010/2011
1,32921,1. část,08:45,-,29 Adam Vyhnal,,2010/2011
2,32921,1. část,11:56,-,14 Aleš Chod,19 Matyáš Pokorný,2010/2011
3,32921,2. část,06:13,PP,19 Matyáš Pokorný,55 Tomáš Pícha,2010/2011
4,32921,2. část,09:32,-,14 Aleš Chod,19 Matyáš Pokorný,2010/2011
5,32921,2. část,11:33,-,14 Aleš Chod,19 Matyáš Pokorný,2010/2011
6,32921,3. část,09:40,-,14 Aleš Chod,55 Tomáš Pícha,2010/2011
0,34411,3. část,02:01,-,2 Tomáš Bízek,13 Robert Kučírka,2010/2011
1,34411,3. část,06:47,-,13 Robert Kučírka,96 Jiří Čala,2010/2011
0,35918,2. část,02:05,-,10 Zdeněk Burian,82 Vojtěch Hynek,2010/2011
1,35918,2. část,02:48,-,5 Vojtěch Skopový,42 Štěpán Pavelka,2010/2011
2,35918,2. část,05:32,-,8 Tomáš Kružík,5 Vojtěch Skopový,2010/2011
3,35918,2. část,10:16,-,28 Libor Vilímec,8 Tomáš Kružík,2010/2011
4,35918,3. část,02:46,PS,5 Vojtěch Skopový,,2010/2011
5,35918,3. část,07:25,-,82 Vojtěch Hynek,7 Petr Dvořák,2010/2011
0,35915,1. část,07:21,PP,14 Ondřej Pícha,17 Michal Kuklík,2010/2011
1,35915,2. část,07:53,-,7 Petr Zeman,9 Petr Nevšímal,2010/2011
0,38225,2. část,04:07,-,79 Jan Hruška,10 Jan Kadlec,2010/2011
1,38225,2. část,07:13,-,66 Petr Slezák,,2010/2011
2,38225,2. část,11:26,-,15 Jakub Kricner,69 Jan Rychtařík,2010/2011
3,38225,3. část,01:17,-,79 Jan Hruška,92 Jakub Votruba,2010/2011
4,38225,3. část,11:25,-,92 Jakub Votruba,79 Jan Hruška,2010/2011
5,38225,3. část,11:53,-,6 Stanislav Zajíček,50 Jiří Kundrata,2010/2011
0,38223,1. část,10:05,-,11 Jan Urbanec,16 Jan Klimus,2010/2011
0,28904,1. část,03:06,-,77 Jan Čapek,10 Lukáš Bokr,2010/2011
1,28904,1. část,07:59,-,77 Jan Čapek,10 Lukáš Bokr,2010/2011
0,40660,1. část,07:29,-,11 Martin Zíma,67 Michael Rudolf,2010/2011
1,40660,1. část,11:00,-,23 Jakub Dajčar,10 Jiří Vacek,2010/2011
2,40660,2. část,04:21,-,67 Michael Rudolf,21 Lukáš Jenšík,2010/2011
3,40660,2. část,08:46,-,94 Vojtěch Šafránek,47 Petr Benedikt,2010/2011
4,40660,3. část,06:25,-,94 Vojtěch Šafránek,47 Petr Benedikt,2010/2011
0,41547,1. část,10:26,-,47 Matyáš Pokorný,29 David Rainhart,2010/2011
1,41547,2. část,07:40,-,55 Tomáš Pícha,47 Matyáš Pokorný,2010/2011
2,41547,2. část,09:31,-,47 Matyáš Pokorný,55 Tomáš Pícha,2010/2011
3,41547,3. část,07:01,-,29 David Rainhart,55 Tomáš Pícha,2010/2011
4,41547,3. část,10:08,-,47 Matyáš Pokorný,,2010/2011
0,43569,2. část,09:08,PP,9 Rudolf Gregor,96 Jiří Čala,2010/2011
1,43569,3. část,04:00,-,28 Jakub Kopecký,13 Robert Kučírka,2010/2011
2,43569,3. část,04:19,-,13 Robert Kučírka,28 Jakub Kopecký,2010/2011
0,46482,1. část,11:19,-,6 David Kohout,7 Tomáš Vrabec,2011/2012
1,46482,3. část,05:31,-,17 Filip Červený,10 Lukáš Malý,2011/2012
2,46482,3. část,05:59,-,6 David Kohout,2 Jiří Bábek,2011/2012
3,46482,3. část,07:53,-,2 Jiří Bábek,17 Filip Červený,2011/2012
0,48470,1. část,05:09,PP,11 Jiří Adam,77 Václav Římal,2011/2012
1,48470,2. část,03:47,-,4 Jan Havránek,13 Jakub Barták,2011/2012
2,48470,2. část,07:05,-,13 Jakub Barták,,2011/2012
3,48470,3. část,04:23,PP,13 Jakub Barták,77 Václav Římal,2011/2012
4,48470,3. část,05:25,-,15 Vojtěch Moravec,19 Jakub Bilík,2011/2012
5,48470,3. část,09:04,-,11 Jiří Adam,,2011/2012
6,48470,3. část,09:50,-,19 Jakub Bilík,13 Jakub Barták,2011/2012
0,48466,1. část,01:34,-,55 Tomáš Pícha,19 Aleš Chod,2011/2012
1,48466,2. část,05:13,-,47 Matyáš Pokorný,55 Tomáš Pícha,2011/2012
0,50281,1. část,02:15,-,11 Michal Mikeš,27 Jaroslav Biskup,2011/2012
1,50281,1. část,07:09,-,10 Tomáš Formánek,6 Ondřej Krejza,2011/2012
2,50281,2. část,00:35,-,71 Tomáš Horák,11 Michal Mikeš,2011/2012
3,50281,3. část,02:22,-,10 Tomáš Formánek,9 Aleš Bílek,2011/2012
0,50278,1. část,00:10,-,53 Oldřich Pešek,66 Tomáš Grznár,2011/2012
1,50278,2. část,05:33,-,53 Oldřich Pešek,66 Tomáš Grznár,2011/2012
2,50278,3. část,06:09,-,66 Tomáš Grznár,53 Oldřich Pešek,2011/2012
0,52514,2. část,06:28,-,22 Bohuslav Bek,94 Petr Chýle,2011/2012
0,53206,1. část,07:00,-,11 Jan Urbanec,10 Tomáš Doležal,2011/2012
1,53206,2. část,04:41,PP,23 Miroslav Mašek,2 Miroslav Špaček,2011/2012
0,53208,2. část,00:29,-,26 Robin Franče,36 Michal Karban,2011/2012
0,55810,3. část,07:06,-,9 David Kohout,2 Oskar Bábek,2011/2012
1,55810,3. část,10:17,-,2 Oskar Bábek,,2011/2012
0,56545,1. část,10:24,-,11 Jiří Adam,13 Jakub Barták,2011/2012
1,56545,3. část,01:11,-,11 Jiří Adam,77 Václav Římal,2011/2012
0,56541,2. část,04:14,-,19 Filip Horálek,31 Jan Coufal,2011/2012
1,56541,3. část,01:09,-,5 Radek Vichta,44 Martin Mičlo,2011/2012
2,56541,3. část,02:57,-,19 Filip Horálek,,2011/2012
3,56541,3. část,08:42,PP,19 Filip Horálek,44 Martin Mičlo,2011/2012
4,56541,3. část,09:48,PP,44 Martin Mičlo,47 Matyáš Pokorný,2011/2012
0,58485,1. část,05:08,PP,53 Oldřich Pešek,87 Jan Voříšek,2011/2012
1,58485,1. část,06:22,SH,66 Tomáš Grznár,46 Lukáš Frydrych,2011/2012
2,58485,2. část,10:13,-,36 Miroslav Šíp,99 Oldřich Pilecký,2011/2012
3,58485,3. část,00:10,-,99 Oldřich Pilecký,,2011/2012
0,58483,3. část,04:16,PS,71 Tomáš Horák,,2011/2012
0,59987,1. část,03:43,-,94 Petr Chýle,7 Ondřej Šplíchal,2011/2012
1,59987,1. část,07:03,-,77 Martin Chýle,94 Petr Chýle,2011/2012
2,59987,3. část,06:44,PP,25 Boris Černý,22 Bohuslav Bek,2011/2012
3,59987,3. část,09:06,-,25 Boris Černý,22 Bohuslav Bek,2011/2012
0,61490,2. část,03:04,-,36 Michal Karban,26 Robin Franče,2011/2012
1,61490,2. část,11:15,-,66 Jakub Mintal,47 Michal Kocourek,2011/2012
2,61490,3. část,04:58,PP,47 Michal Kocourek,26 Robin Franče,2011/2012
3,61490,3. část,08:49,-,26 Robin Franče,36 Michal Karban,2011/2012
0,61483,2. část,04:14,-,23 Miroslav Mašek,11 Jan Urbanec,2011/2012
1,61483,3. část,07:17,-,69 Vít Vrtiška,76 Jaroslav Český,2011/2012
0,64575,1. část,08:57,-,50 Lukáš Fietzek,39 Tomáš Pilař,2012/2013
1,64575,2. část,02:30,-,50 Lukáš Fietzek,17 Ondřej Daniš,2012/2013
2,64575,3. část,11:46,-,39 Tomáš Pilař,,2012/2013
0,64573,1. část,00:55,-,24 Martin Uher,13 Tomáš Jelínek,2012/2013
1,64573,1. část,02:19,-,8 Tomáš Jeřábek,,2012/2013
2,64573,2. část,03:12,-,24 Martin Uher,8 Tomáš Jeřábek,2012/2013
0,66191,1. část,04:38,-,3 Martin Smetana,73 Martin Švácha,2012/2013
1,66191,2. část,03:31,PP,8 David Martynek,3 Martin Smetana,2012/2013
2,66191,3. část,03:45,PP,14 Vítek Vančura,10 Martin Bezchleba,2012/2013
0,66193,1. část,01:07,-,4 Jaroslav Vlček,11 Jaroslav Skácel,2012/2013
1,66193,2. část,03:54,-,11 Jaroslav Skácel,14 Jan Slabý,2012/2013
2,66193,2. část,08:34,-,11 Jaroslav Skácel,4 Jaroslav Vlček,2012/2013
3,66193,3. část,01:48,PP,4 Jaroslav Vlček,16 Martin Sičár,2012/2013
4,66193,3. část,04:45,-,4 Jaroslav Vlček,16 Martin Sičár,2012/2013
0,67676,1. část,05:30,-,13 Petr Švancar,16 Vojtěch Paul,2012/2013
1,67676,2. část,03:25,-,10 Jaroslav Šimek,5 Evžen Teringl,2012/2013
2,67676,3. část,04:41,-,5 Evžen Teringl,10 Jaroslav Šimek,2012/2013
3,67676,3. část,09:38,-,4 Petr Veselý,,2012/2013
0,67674,1. část,06:07,PP,91 Martin Kostiha,,2012/2013
1,67674,2. část,05:05,-,91 Martin Kostiha,87 Daniel Šonský,2012/2013
2,67674,2. část,05:45,-,27 Marek Vrána,3 Jakub Valchář,2012/2013
3,67674,2. část,08:00,-,18 Marek Bíl,91 Martin Kostiha,2012/2013
4,67674,2. část,10:49,-,87 Daniel Šonský,29 Martin Špaček,2012/2013
5,67674,3. část,09:07,-,45 Lukáš Recht,,2012/2013
0,69444,1. část,04:38,-,14 Ondřej Karnet,48 Tomáš Košulič,2012/2013
1,69444,1. část,09:50,-,14 Ondřej Karnet,69 Tomáš Prokop,2012/2013
2,69444,1. část,11:24,-,48 Tomáš Košulič,55 Radim Špejra,2012/2013
3,69444,3. část,09:47,SH,89 Michal Stome,55 Radim Špejra,2012/2013
0,69442,1. část,01:31,-,74 Jakub Svoboda,18 Michal Kalista,2012/2013
1,69442,1. část,02:16,-,74 Jakub Svoboda,5 David Louda,2012/2013
2,69442,1. část,04:38,-,5 David Louda,74 Jakub Svoboda,2012/2013
3,69442,1. část,07:20,-,12 Aleš Hrdina,54 Jakub Košler,2012/2013
