,Id,Player,G,A,PTS,Season,Team_against,Team_for
3,18371,8 Miroslav Müller (U),0,0,0,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
4,18371,16 Adam Podrázský (U),1,0,1,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
5,18371,47 Patrik Čeliš (U),0,0,0,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
6,18371,69 Michal Černý (U),1,1,2,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
7,18371,71 Pavel Vlasák (U),2,1,3,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
8,18371,77 Lukáš Fulín (U),1,0,1,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
9,18371,99 Ondřej Lukeš (U),0,0,0,2009/2010,FBC Ressler boys,FbŠ Bohemians BANG team D
0,18389,10 Josef Slavík (U),0,1,1,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
1,18389,12 Vojtěch Novák (U),1,0,1,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
2,18389,17 Jiří Tománek (U),0,0,0,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
3,18389,20 František Schirl (U),1,0,1,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
4,18389,21 Milan Kouba (U),0,0,0,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
5,18389,23 Michael Podlaha (U),0,0,0,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
6,18389,25 Michal Zvára (U),0,0,0,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
7,18389,39 Michal Pozler (U),0,1,1,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
8,18389,50 Lukáš Fietzek (U),0,0,0,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
9,18389,56 Adam Pažout (U),0,0,0,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
10,18389,89 Jakub Toušek (U),0,0,0,2009/2010,FBC Ressler boys,FT Sokol Břevnov B
0,19348,11 Jan Bílík (U),0,0,0,2009/2010,FBC Ressler boys,FbK TJ Sokol Žižkov II
