,Id,Period,Time,Type,Goal,Assist,Season
1,52510,1. část,05:41,-,21 Štěpán Trousil,7 Miloš Zapadlo,2011/2012
2,52510,2. část,07:35,PP,77 Ctibor Chmelař,8 Filip Weber,2011/2012
3,52510,2. část,11:29,-,77 Ctibor Chmelař,11 Václav Rides,2011/2012
4,52510,3. část,08:20,-,21 Štěpán Trousil,3 Martin Elišák,2011/2012
5,52510,3. část,11:57,-,21 Štěpán Trousil,7 Miloš Zapadlo,2011/2012
0,53206,1. část,07:39,-,21 Štěpán Trousil,49 Filip Trousil,2011/2012
1,53206,1. část,07:47,-,21 Štěpán Trousil,7 Miloš Zapadlo,2011/2012
2,53206,1. část,11:32,-,22 Jakub Nováček,7 Miloš Zapadlo,2011/2012
3,53206,2. část,02:38,-,77 Ctibor Chmelař,48 Roman Žampach,2011/2012
4,53206,3. část,02:37,-,21 Štěpán Trousil,7 Miloš Zapadlo,2011/2012
5,53206,3. část,03:23,-,77 Ctibor Chmelař,11 Václav Rides,2011/2012
6,53206,3. část,05:36,-,21 Štěpán Trousil,7 Miloš Zapadlo,2011/2012
7,53206,3. část,08:29,-,86 Zdeněk Karásek,17 Adam Štefánik,2011/2012
8,53206,3. část,10:39,SH,11 Václav Rides,12 Adam Bardún,2011/2012
0,53208,3. část,05:29,-,7 Miloš Zapadlo,8 Filip Weber,2011/2012
0,55810,1. část,08:27,-,7 Miloš Zapadlo,21 Štěpán Trousil,2011/2012
1,55810,2. část,10:53,-,17 Adam Štefánik,43 Roman Žampach,2011/2012
2,55810,2. část,11:39,-,17 Adam Štefánik,,2011/2012
3,55810,3. část,02:32,-,5 Ladislav Tyll,,2011/2012
0,56545,2. část,07:21,-,77 Ctibor Chmelař,8 Filip Weber,2011/2012
1,56545,2. část,10:57,-,7 Miloš Zapadlo,77 Ctibor Chmelař,2011/2012
0,58485,1. část,08:18,-,21 Štěpán Trousil,4 Jakub Mádr,2011/2012
1,58485,1. část,10:47,OG,87 Jan Voříšek,,2011/2012
2,58485,2. část,08:25,-,5 Ladislav Tyll,,2011/2012
3,58485,2. část,08:35,-,7 Miloš Zapadlo,21 Štěpán Trousil,2011/2012
0,58483,1. část,05:35,-,5 Ladislav Tyll,17 Adam Štefánik,2011/2012
1,58483,1. část,08:26,-,77 Ctibor Chmelař,48 Roman Žampach,2011/2012
2,58483,1. část,10:06,-,5 Ladislav Tyll,17 Adam Štefánik,2011/2012
3,58483,1. část,10:15,-,17 Adam Štefánik,8 Filip Weber,2011/2012
4,58483,3. část,11:30,-,17 Adam Štefánik,22 Jakub Nováček,2011/2012
5,58483,3. část,11:49,-,22 Jakub Nováček,78 Zdeněk Máčel,2011/2012
0,59987,1. část,09:09,-,86 Zdeněk Karásek,,2011/2012
1,59987,2. část,11:54,-,3 Martin Elišák,7 Miloš Zapadlo,2011/2012
2,59987,3. část,02:09,SH,22 Jakub Nováček,5 Ladislav Tyll,2011/2012
3,59987,3. část,04:50,-,7 Miloš Zapadlo,21 Štěpán Trousil,2011/2012
4,59987,3. část,08:04,PP,22 Jakub Nováček,17 Adam Štefánik,2011/2012
0,59990,1. část,01:19,-,7 Miloš Zapadlo,21 Štěpán Trousil,2011/2012
1,59990,1. část,08:31,-,77 Ctibor Chmelař,86 Zdeněk Karásek,2011/2012
2,59990,1. část,10:29,-,5 Ladislav Tyll,48 Roman Žampach,2011/2012
3,59990,2. část,01:29,-,77 Ctibor Chmelař,48 Roman Žampach,2011/2012
