,Id,Period,Time,Player,TM,Foul,Season
0,111027,1. část,07:10,11 Pavel Kolář,2,925 nesportovní chování,2014/2015
0,113887,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,113892,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,115955,3. část,11:43,78 Roman Eder,2,901 sekání,2014/2015
0,116088,1. část,09:54,20 Stanislav Prokop,2,922 špatné střídání,2014/2015
0,119728,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,119733,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,120429,3. část,09:20,19 Filip Pacan,2,903 nadzvedávání hokejky,2014/2015
0,120431,1. část,06:10,10 Lukáš Lhotský,2,901 sekání,2014/2015
1,120431,1. část,11:48,99 Jakub Reimar,2,921 hra hlavou,2014/2015
2,120431,3. část,08:44,13 Aleš Zahálka,2,916 hra ve výskoku,2014/2015
0,125857,1. část,05:08,8 Vladimír Havlíček,2,904 vysoká hokejka,2014/2015
1,125857,2. část,08:04,8 Vladimír Havlíček,2,903 nadzvedávání hokejky,2014/2015
2,125857,2. část,10:40,26 Lukáš Putyra,2,911 bránění ve hře,2014/2015
0,125859,2. část,08:00,69 Jonáš Křepelka,2,907 nedovolené vrážení,2014/2015
0,127351,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,127354,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2014/2015
0,130050,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,130052,1. část,04:02,66 Richard Lučan,2,901 sekání,2015/2016
0,132892,3. část,02:14,11 Jan Dušek,2,909 hrubost,2015/2016
0,132901,3. část,11:28,18 Jiří Svoboda,2,902 blokování hokejky,2015/2016
0,134348,3. část,06:17,98 Petr Homonický,2,911 bránění ve hře,2015/2016
0,134351,2. část,02:50,29 Jan Čížek,2,911 bránění ve hře,2015/2016
0,137002,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,137005,3. část,01:00,14 Jakub Pecha,2,922 špatné střídání,2015/2016
0,144401,2. část,03:58,13 Tomáš Odcházel,2,904 vysoká hokejka,2015/2016
1,144401,3. část,02:48,3 Jiří Kolář,2,901 sekání,2015/2016
0,144406,2. část,02:13,66 Richard Lučan,2,901 sekání,2015/2016
0,145415,3. část,10:36,58 Zbyněk Chmúra,2,902 blokování hokejky,2015/2016
0,145420,2. část,07:44,21 Ondřej Šašek,2,901 sekání,2015/2016
0,150361,2. část,06:21,11 Jan Dušek,2,901 sekání,2015/2016
0,150367,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,151930,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,151965,2. část,06:48,5 Tomáš Jurczyk,2,909 hrubost,2015/2016
0,154870,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2015/2016
0,154873,1. část,00:25,9 Martin Jaeger,2,904 vysoká hokejka,2015/2016
1,154873,2. část,03:35,77 Patrik Mareš,2,909 hrubost,2015/2016
2,154873,2. část,09:35,9 Martin Jaeger,2,904 vysoká hokejka,2015/2016
3,154873,2. část,09:50,71 Luboš Příkop,2,901 sekání,2015/2016
0,158141,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2016/2017
0,158158,1. část,07:22,13 Michal Zeman,2,907 nedovolené vrážení,2016/2017
