,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
4,67674,2,10:49,-, Daniel Šonský, Martin Špaček,2012/2013,10,49,649
5,67674,3,09:07,-, Lukáš Recht,,2012/2013,9,7,547
0,69444,1,04:38,-, Ondřej Karnet, Tomáš Košulič,2012/2013,4,38,278
1,69444,1,09:50,-, Ondřej Karnet, Tomáš Prokop,2012/2013,9,50,590
2,69444,1,11:24,-, Tomáš Košulič, Radim Špejra,2012/2013,11,24,684
3,69444,3,09:47,SH, Michal Stome, Radim Špejra,2012/2013,9,47,587
0,69442,1,01:31,-, Jakub Svoboda, Michal Kalista,2012/2013,1,31,91
1,69442,1,02:16,-, Jakub Svoboda, David Louda,2012/2013,2,16,136
2,69442,1,04:38,-, David Louda, Jakub Svoboda,2012/2013,4,38,278
3,69442,1,07:20,-, Aleš Hrdina, Jakub Košler,2012/2013,7,20,440
4,69442,2,04:04,-, Jakub Svoboda, Michal Kalista,2012/2013,4,4,244
5,69442,2,07:38,-, David Soukup, Jiří Kroulík,2012/2013,7,38,458
6,69442,2,08:42,PS, Jakub Svoboda,,2012/2013,8,42,522
7,69442,3,01:48,PP, Dalibor Koman, Vladimír Pinc,2012/2013,1,48,108
8,69442,3,04:48,-, Michal Kalista, Jakub Svoboda,2012/2013,4,48,288
9,69442,3,05:52,-, Jakub Košler, Tomáš Jančovič,2012/2013,5,52,352
10,69442,3,06:20,-, David Louda, Jakub Svoboda,2012/2013,6,20,380
0,69398,1,02:36,-, Daniel Lerch,,2012/2013,2,36,156
1,69398,3,10:55,-, Radek Hosnedl, Jan Klesnil,2012/2013,10,55,655
0,69401,2,01:28,PS, Josef Bradáč,,2012/2013,1,28,88
1,69401,2,02:01,-, Lukáš Ruda, Roman Tauš,2012/2013,2,1,121
2,69401,2,07:37,-, Martin Švehla, Roman Tauš,2012/2013,7,37,457
3,69401,3,02:17,-, Josef Bradáč, Jan Maťátko,2012/2013,2,17,137
0,72096,1,03:41,-, Lukáš Průcha,,2012/2013,3,41,221
1,72096,2,07:10,-, Tomáš Jelínek, Martin Uher,2012/2013,7,10,430
2,72096,3,09:07,-, Tomáš Jelínek, Martin Uher,2012/2013,9,7,547
0,73820,3,01:31,-, David Martynek, Jakub Lacina,2012/2013,1,31,91
0,73818,2,05:27,-, Martin Karlovský,,2012/2013,5,27,327
1,73818,2,09:06,-, Martin Karlovský, Lukáš Fietzek,2012/2013,9,6,546
2,73818,3,05:58,PP, Martin Karlovský, Ondřej Daniš,2012/2013,5,58,358
0,76508,1,05:52,-, Michal Mora,,2012/2013,5,52,352
1,76508,2,04:19,-, František Burian, Pavel Zeman,2012/2013,4,19,259
0,76505,1,04:15,-, Jakub Horáček, Jakub Zalubil,2012/2013,4,15,255
1,76505,1,04:44,-, Jakub Horáček, Jakub Zalubil,2012/2013,4,44,284
2,76505,2,09:59,PP, Petr Mikysek, Marek Bíl,2012/2013,9,59,599
3,76505,2,11:04,PP, Jan Kalenda, Jakub Zalubil,2012/2013,11,4,664
0,77841,1,04:59,-, Jakub Svoboda,,2012/2013,4,59,299
1,77841,1,10:29,-, Václav Bendl, Jakub Svoboda,2012/2013,10,29,629
2,77841,2,01:11,-, Aleš Hrdina, Jakub Svoboda,2012/2013,1,11,71
