,Id,Period,Time,Player,TM,Foul,Season
1,177076,1. část,11:30, Miloš Zapadlo,10,925 nesportovní chování,2016/2017
2,177076,2. část,09:46, Michal Rosí,2,909 hrubost,2016/2017
3,177076,3. část,07:09, Marek Václavík,2,911 bránění ve hře,2016/2017
0,178896,2. část,11:38, Ctibor Chmelař,2,911 bránění ve hře,2016/2017
1,178896,3. část,09:36, Martin Elišák,2,922 špatné střídání,2016/2017
0,181137,2. část,00:40, Marek Václavík,2,901 sekání,2016/2017
1,181137,2. část,11:44, Michal Rosí,2,902 blokování hokejky,2016/2017
0,181141,3. část,03:53, Roman Žampach,2,916 hra ve výskoku,2016/2017
0,184420,2. část,11:26, Michal Rosí,2,920 hra rukou,2016/2017
0,188166,1. část,01:26, Martin Elišák,2,922 špatné střídání,2017/2018
0,188172,3. část,10:07, Michal Rosí,5,928 neuvedení v sestavě,2017/2018
0,189796,3. část,10:00, Jakub Edr,2,902 blokování hokejky,2017/2018
0,189799,1. část,11:39, Roman Žampach,2,901 sekání,2017/2018
0,190317,2. část,00:40, Jakub Edr,2,907 nedovolené vrážení,2017/2018
1,190317,2. část,11:08, Jakub Nováček,2,909 hrubost,2017/2018
2,190317,3. část,10:03, Michal Rosí,5,909 hrubost,2017/2018
0,190321,1. část,01:47, Martin Elišák,2,922 špatné střídání,2017/2018
0,196450,2. část,09:24, Marek Václavík,2,921 hra hlavou,2017/2018
0,196944,1. část,11:39, Ctibor Chmelař,2,925 nesportovní chování,2017/2018
0,198727,2. část,10:22, Adam Bardún,2,901 sekání,2017/2018
1,198727,3. část,02:40, Marek Václavík,2,902 blokování hokejky,2017/2018
0,198731,2. část,08:19, Marek Václavík,2,901 sekání,2017/2018
1,198731,3. část,09:25, Štěpán Trousil,2,925 nesportovní chování,2017/2018
0,207535,3. část,04:16, Adam Bardún,2,901 sekání,2017/2018
0,213222,2. část,10:38, Marek Václavík,2,911 bránění ve hře,2017/2018
0,215894,2. část,05:20, Michal Rosí,2,904 vysoká hokejka,2017/2018
0,215892,2. část,07:48, Martin Elišák,2,911 bránění ve hře,2017/2018
0,217370,1. část,08:12, Štěpán Trousil,2,902 blokování hokejky,2017/2018
1,217370,2. část,04:21, Roman Žampach,2,911 bránění ve hře,2017/2018
0,217372,1. část,07:00, Marek Václavík,2,902 blokování hokejky,2017/2018
0,222022,3. část,01:11, Michal Rosí,2,915 nedovolená vzdálenost,2018/2019
1,222022,3. část,04:04, Filip Weber,2,901 sekání,2018/2019
2,222022,3. část,06:54, Jakub Nováček,2,901 sekání,2018/2019
0,222084,1. část,06:01, Roman Žampach,2,910 držení,2018/2019
1,222084,2. část,06:32, Filip Trousil,2,925 nesportovní chování,2018/2019
0,225350,1. část,04:50, Marek Václavík,2,922 špatné střídání,2018/2019
1,225350,3. část,04:42, Radek Mošnička,2,911 bránění ve hře,2018/2019
0,229025,3. část,07:20, Jakub Edr,2,901 sekání,2018/2019
0,229022,1. část,02:48, Jakub Edr,2,901 sekání,2018/2019
1,229022,3. část,07:18, Pavel Trbušek,2,922 špatné střídání,2018/2019
0,232669,2. část,05:08, Ctibor Chmelař,2,902 blokování hokejky,2018/2019
1,232669,3. část,07:37, Radek Mošnička,2,902 blokování hokejky,2018/2019
0,235066,1. část,03:05, Michal Rosí,2,901 sekání,2018/2019
1,235066,1. část,08:54, Jakub Nováček,2,901 sekání,2018/2019
2,235066,2. část,05:32, Michal Rosí,2,926 hra bez hokejky,2018/2019
3,235066,3. část,07:53, Marek Václavík,2,901 sekání,2018/2019
4,235066,3. část,10:58, Ctibor Chmelař,2,909 hrubost,2018/2019
0,235062,3. část,06:21, Pavel Trbušek,2,919 hra na zemi,2018/2019
0,237796,1. část,05:30, Jakub Mádr,2,902 blokování hokejky,2018/2019
1,237796,3. část,07:39, Ctibor Chmelař,2,901 sekání,2018/2019
0,237794,2. část,00:29, Ctibor Chmelař,2,904 vysoká hokejka,2018/2019
0,241681,1. část,10:48, Marek Václavík,2,901 sekání,2018/2019
1,241681,2. část,00:46, Ctibor Chmelař,2,901 sekání,2018/2019
2,241681,3. část,07:42, Marek Václavík,2,901 sekání,2018/2019
0,241679,3. část,04:10, Jan Hanuš,2,911 bránění ve hře,2018/2019
0,244656,2. část,00:40, Marek Václavík,2,901 sekání,2018/2019
0,244654,3. část,11:38, Michal Rosí,2,915 nedovolená vzdálenost,2018/2019
0,247475,3. část,02:53, Marek Václavík,2,902 blokování hokejky,2018/2019
1,247475,3. část,09:39, Miloš Zapadlo,2,907 nedovolené vrážení,2018/2019
0,247472,1. část,04:15, Štefan Záležák,2,922 špatné střídání,2018/2019
1,247472,1. část,06:41, Jan Hanuš,2,907 nedovolené vrážení,2018/2019
0,233120,1. část,02:32, Filip Weber,2,911 bránění ve hře,2018/2019
1,233120,1. část,08:36, Marek Václavík,2,904 vysoká hokejka,2018/2019
2,233120,2. část,01:12, Roman Žampach,2,920 hra rukou,2018/2019
0,255307,1. část,11:12, Michal Rosí,2,919 hra na zemi,2019/2020
1,255307,2. část,07:30, Filip Weber,2,911 bránění ve hře,2019/2020
2,255307,3. část,05:35, Roman Žampach,2,902 blokování hokejky,2019/2020
0,260187,2. část,03:38, Filip Weber,2,901 sekání,2019/2020
0,263242,3. část,06:53, Jakub Mádr,2,902 blokování hokejky,2019/2020
1,263242,3. část,08:16, Adam Bardún,2,901 sekání,2019/2020
0,266162,3. část,03:56, Jakub Edr,2,901 sekání,2019/2020
0,266158,3. část,03:49, Jakub Nováček,2,911 bránění ve hře,2019/2020
0,271020,2. část,03:40, Michael Obrtel,2,920 hra rukou,2019/2020
1,271020,2. část,11:33, Adam Bardún,2,903 nadzvedávání hokejky,2019/2020
0,278201,3. část,04:51, Roman Žampach,2,901 sekání,2019/2020
0,284054,1. část,08:23, Jakub Mádr,2,901 sekání,2020/2021
1,284054,3. část,02:10, Michael Obrtel,2,919 hra na zemi,2020/2021
0,284058,2. část,11:01, Michael Obrtel,2,901 sekání,2020/2021
1,284058,3. část,07:59, Matěj Soukup,2,908 vražení zády,2020/2021
0,291144,3. část,02:15, Michael Obrtel,2,909 hrubost,2021/2022
1,291144,3. část,07:01, Filip Weber,2,901 sekání,2021/2022
0,291700,1. část,08:27, Aleš Bambas,2,901 sekání,2021/2022
1,291700,2. část,07:51, Ctibor Chmelař,2,901 sekání,2021/2022
2,291700,3. část,01:03, Ctibor Chmelař,2,915 nedovolená vzdálenost,2021/2022
3,291700,3. část,05:11, Ladislav Tyll,2,902 blokování hokejky,2021/2022
4,291700,3. část,11:37, Filip Weber,2,902 blokování hokejky,2021/2022
0,293466,2. část,08:41, Aleš Bambas,2,902 blokování hokejky,2021/2022
1,293466,3. část,01:24, Matěj Soukup,2,901 sekání,2021/2022
0,297187,3. část,10:18, Matěj Soukup,2,911 bránění ve hře,2021/2022
0,304844,3. část,11:48, Václav Štochl,2,925 nesportovní chování,2021/2022
